ဟောကြားတော်	divine	bodhisattva	prayers	contemplation	gods	prayer	reverence	scriptures	purgatory	god
ဟောဒီ	laugh	laughing	amused	laughed	cried	wondering	forget	exclaimed	crying	delight
ဟောဒီမှာ	exclaimed	wondering	glad	cried	angrily	forgive	ashamed	forget	shit	laughing
ဟောပြော	discourses	entertain	speeches	meetings	debates	laity	discourse	recitation	inviting	recite
ဟောပြောပွဲ	meetings	debates	inviting	invitations	gatherings	speeches	lunchtime	evenings	invite	lectures
ဟောလိဝုဒ်	television	scriptwriter	comedian	comedians	movies	drama	filmed	starred	wonderland	comedy
ဟောလီးဝုဒ်	theaters	first	theater	showings	visit	entertainers	history	coincidentally	venues	trip
ဟောဝပ်	government	president	first	controversially	representative	met	chairmanship	establish	resigned	february
ဟော့	bet	leary	sure	perry	again	sally	go	buck	back	luck
ဟော့ကင်း	tokyo	england	biography	scholarship	retirement	inaugural	japan	centennial	american	canada
ဟော့ပါ	showings	first	years	had	only	time	last	was	scenes	aside
ဟော့ဝစ်ခ်	first	interviewed	at	controversially	was	new	time	also	early	only
ဟော့ဝတ်ဒ်	reiterated	reconsider	questioned	succeed	insistence	reconsidered	believes	insist	said	warned
ဟော်	haw	tee	buck	sit	greet	lum	lee	go	tho	ang
ဟော်ကီ	champion	competed	championship	football	champions	tennis	boxing	basketball	championships	tournament
ဟော်တာ	hosted	headlined	run	busters	ran	vice	trip	rally	president	cancelling
ဟော်မုန်း	vitamin	cholesterol	dosage	caffeine	digestive	doses	brain	calorie	obesity	tissues
ဟော်လီ	carolinas	promoter	promoters	but	make	known	shows	recreate	made	rallying
ဟော်လန်	england	italy	spain	france	britain	ireland	sweden	zealand	scandinavia	argentina
ဟံ	chit	gon	tho	hath	buddha	tha	phra	sutra	maha	mang
ဟံသာဝတီ	toungoo	chronicle	thein	irrawaddy	arakan	mandalay	pagoda	afrique	sanda	intelligencer
ဟံသာဝတီကို	toungoo	besiege	usurper	throne	emperor	rearguard	fürstenberg	vassal	dynasty	revolted
ဟို	ho	hang	tho	pong	tin	hau	nay	moo	po	hung
ဟိုညက	wondering	scared	frightened	crying	something	you	laughed	exclaimed	terrified	laughing
ဟိုတုန်းက	flirting	nobody	kisses	anybody	angrily	girl	walks	horrified	wondering	stupid
ဟိုတယ်	hotel	hotels	halls	motels	museums	garages	venues	nightclubs	nightclub	cafes
ဟိုတယ်များ	venues	hotels	institutions	establishments	universities	museums	agencies	locations	cafes	cities
ဟိုဒါ	insisting	deny	extradition	dismiss	reconsider	insist	denies	intervene	warned	warrant
ဟိုဒန်	only	one	also	outside	the	visiting	where	not	of	any
ဟိုနိုလုလု	instance	that	claiming	overturning	subsequent	any	the	claimed	contended	even
ဟိုမုန်း	distractions	consume	calorie	calories	densities	problem	consuming	disordered	glasses	conversely
ဟိုမှာ	wondering	afraid	exclaimed	bother	terrified	knowing	why	amazed	speak	listen
ဟိုလိုကောစ်ထ်	doing	instance	that	contends	this	particular	context	interested	perspective	believes
ဟိုဝဒ်	said	told	discussed	explained	interviewed	asked	questioned	informed	that	advised
ဟိုဟာ	wondering	everything	shouldn	knows	knowing	think	know	thinks	why	what
ဟိုး	hurry	laughed	exclaimed	cabin	inside	away	just	cried	conveniently	folks
ဟက်	cans	gallon	bottle	gallons	punch	feet	tapped	beer	net	bottles
ဟက်ဂစ်	telling	commenting	commented	likes	compliments	joked	remarked	father	inspired	friend
ဟက်ဆန်	protested	officer	officials	visiting	establishments	served	responded	attended	clinton	protesting
ဟက်တာ	hectares	estimated	meters	measuring	m²	approximately	kilometer	kilometers	tonnes	diameter
ဟောက်	lit	shines	sit	down	go	sure	make	get	let	catch
ဟောက်စ်	concept	genesis	beginnings	inspirational	brochure	first	provided	referenced	seminal	complimentary
ဟိုက်	atoms	boiling	helium	cathode	heater	hydrogen	graphite	anions	dilute	deuterium
ဟိုက်ဒရို	hydrogen	deuterium	helium	gaseous	solvents	protons	ions	ionized	fluorine	solvent
ဟိုက်ဒရိုဂျင်	hydrogen	deuterium	gaseous	helium	fluorine	protons	ions	ammonia	sulfide	dioxide
ဟိုက်ဒရိုဂျင်ကို	hydrogen	deuterium	gaseous	sulfide	protons	ammonia	molecules	sulfuric	nitrogen	carbonyl
ဟိုက်ဒရိုဂျင်သည်	hydrogen	deuterium	gaseous	ions	sulfide	fluorine	ammonia	solvents	helium	protons
ဟိုက်ဒြိုဂျင်	gaseous	hydrogen	sulfuric	deuterium	fluorine	sulfide	atoms	ions	ammonia	electrons
ဟဂ်စ်	core	concept	considers	concepts	first	originator	evolution	conceptualized	addition	complementary
‘ဟင်	angrily	terrified	wondering	laughing	frightened	scared	amused	crying	cried	calmly
ဟင်	koon	chai	chin	pong	chit	thi	hin	pak	luk	kha
ဟင်ဒီ	religions	religion	tradition	traditions	cuisine	literature	literatures	speaking	vegetarian	vegetarianism
ဟင်နရီ	henry	philip	frederick	elizabeth	wenceslaus	augustus	william	ferdinand	queen	isabella
ဟင်္သာ	estuary	irrawaddy	pearls	ganges	river	elephant	cows	meanders	surat	hillock
ဟင်္သာ၊	irrawaddy	gyi	khao	tamarind	pulau	plantain	brahmaputra	dumplings	coconut	prawn
ဟင်္သာတ	estuary	irrawaddy	comarca	river	harwich	bandon	valleys	gazetted	tributaries	municipality
ဟင်္သာတခရိုင်	subregion	camarines	ecija	douro	prefecture	district	comarca	hyōgo	carmarthenshire	county
ဟင်း	roasted	cooked	butter	onions	stew	carrots	pudding	lard	pork	fried
ဟင်းခတ်	spices	vegetables	herbs	salads	vegetable	soups	edible	garlic	cooked	dried
ဟင်းချို	vegetables	vegetable	spinach	salads	carrots	potatoes	dried	pickled	ingredients	beans
ဟင်းနုနွယ်	vegetable	berries	beans	strawberries	apples	fruit	fruits	juices	vegetables	dried
ဟင်းရွက်	vegetables	vegetable	carrots	spinach	potatoes	onions	herbs	garlic	cassava	cooked
ဟင်းလျာ	salads	desserts	dessert	pancakes	spinach	herbs	soups	buns	mushrooms	chilli
ဟင်းသီး	vegetables	carrots	vegetable	almonds	tomato	garlic	strawberries	onions	salads	apples
ဟင်းသီးဟင်းရွက်	vegetables	vegetable	carrots	salads	potatoes	cassava	onions	spinach	garlic	soups
ဟင်းသီးဟင်းရွက်၊	vegetables	vegetable	cassava	carrots	salads	potatoes	soups	legumes	onions	garlic
ဟင်းသီးဟင်းရွက်နှင့်	vegetables	vegetable	cassava	legumes	salads	edible	carrots	spinach	garlic	almonds
ဟင်းသီးဟင်းရွက်များ	vegetables	vegetable	legumes	herbs	salads	carrots	potatoes	soups	spices	onions
ဟောင်	haw	buck	tan	white	ban	fly	tee	south	pow	black
ဟောင်ကောင်	china	taiwanese	korea	thailand	cambodia	singapore	taiwan	kong	chinese	hong
ဟောင်ကောင်ဒေါ်လာ	dollars	dollar	billion	pesos	euros	million	trillion	purchase	profits	purchasing
ဟောင်း	connor	neely	goff	eason	buck	leary	manning	tillman	harmon	haw
ဟောင်းဝပ်	resigning	resigned	government	appointment	resignation	his	reappointed	establishment	resign	secretary
ဟိုင်	tavern	shop	greet	gin	taverns	miles	newbury	shanghai	met	sit
ဟိုင်း	gin	seward	hurry	boone	shanghai	catcher	buck	peach	travels	kisses
ဟစ်	shouted	sounded	shouting	yelling	cries	shouts	cried	yells	screaming	cry
ဟစ်ဂင်းစ်	ever	beat	coming	bounced	hitting	beating	picked	sped	in	just
ဟစ်တလာ	nazis	hitler	mussolini	fascists	imperialist	germans	reactionary	nazi	nationalists	fanatical
ဟစ်တလာသည်	nazis	anschluss	hitler	mussolini	goebbels	germans	nazi	pogroms	habsburgs	prussia
ဟစ်တလာ၏	mussolini	nazis	hitler	nazi	fascists	fascist	nazism	goebbels	imperialist	anschluss
ဟစ်ဝဲ	read	readers	writes	commenting	book	commented	published	mentioning	appeared	wrote
ဟဇ်ဗိုလာ	stationed	killed	deserters	troops	soldiers	military	dispatched	forces	retaliation	army
ဟတ်	eight	early	six	chopper	ended	ten	nine	spare	four	set
ဟတ်တာ	area	adjoining	hectares	centre	kilometers	residents	largest	acres	kilometer	southernmost
ဟတ်ဘိုလ	forces	during	troops	hostilities	officials	stationed	military	warned	dispatched	militarily
ဟိတ်	sweets	mischief	scoop	luck	gift	kids	limousine	mr	go	door
ဟုတ်	so	hence	not	or	come	happens	does	whichever	only	any
‘ဟုတ်ကဲ့၊	wondering	frightened	laughed	scared	yells	terrified	crying	laughing	cried	cries
ဟုတ်တယ်	wondering	really	telling	knowing	astonished	you	laughed	ashamed	delighted	know
ဟုတ်မဟုတ်	knowing	whatever	merely	anyone	whatsoever	necessarily	invariably	cannot	implying	anything
ဟုတ်မှန်ကြောင်း	replies	whatever	utterance	wrong	dismisses	whatsoever	reasoning	suppose	contradiction	conclusive
ဟတ်စ်	early	december	march	late	bus	april	in	september	february	november
ဟဒ်ဆန်	inland	overland	warmer	creeks	coastlines	climates	drier	coasts	plentiful	arctic
ဟာဒ်	developed	concepts	core	devices	implemented	implementing	rationale	applications	concept	components
ဟန်	platter	emperors	emperor	balls	bored	turn	batter	came	empress	ball
ဟန်ဂေရီ	hungary	austria	italy	spain	poland	romania	portugal	serbia	germany	croatia
ဟန်ဂေရီ၊	hungary	romania	austria	poland	portugal	bulgaria	paraguay	hungarian	spain	argentina
ဟန်ဂေရီနိုင်ငံ	hungary	greece	italy	germany	spain	portugal	bulgaria	macedonia	balkans	yugoslavia
ဟန်ဆောင်	waiting	deliver	send	like	terminally	pretending	as	better	wishing	give
ဟန်ဆန်	better	get	achieved	aggressively	slower	go	drastically	same	comfortable	significantly
ဟန်တာ	after	again	just	came	got	coming	went	beating	getting	starting
ဟန်နရီ	of	the	also	respectively	was	and	official	other	coincidentally	first
ဟန်နိုဗာ	england	spain	portugal	coincidentally	hungary	sweden	italy	germany	first	was
ဟန်မင်တန်	serious	challenging	first	lamented	despite	challenge	recalls	debutante	congratulated	complications
ဟန်အမူအရာ	mannerisms	melodramatic	playful	endearing	comical	affectionate	seductive	affection	expressive	penchant
ဟန့်	pushed	replace	replaced	move	removed	remove	temporarily	left	break	fell
ဟန့်တား	prevented	limiting	undermining	concerned	preventing	easing	however	concerns	that	restrictions
ဟန့်တား	remove	prevent	disable	eliminate	displace	repel	resist	effectively	dislodge	however
ဟန်း	here	cow	lent	adored	came	trot	uttered	beer	ate	sung
ဟန်းဝပ်ဒ်	ended	warned	reiterated	after	insistence	responded	ironically	prompted	courted	protested
ဟန်းစ်	ten	courted	ended	after	early	burger	fined	kelly	five	prior
ဟိန္ဒီ	hinduism	religion	religions	hindu	buddhism	buddhist	christianity	buddhists	sinhalese	sinhala
ဟိန္ဒူ	religions	religion	buddhists	buddhist	hinduism	buddhism	christianity	hindu	hindus	worship
ဟိန္ဒူဘာသာ၊	buddhism	hinduism	religions	religion	buddhist	mahayana	taoism	jainism	buddhists	theravada
ဟိန္ဒူဘာသာ	buddhism	religions	religion	hinduism	buddhist	buddhists	christianity	mahayana	taoism	jainism
ဟိန္ဒူဘာသာဝင်	hinduism	religion	religions	buddhism	buddhists	buddhist	jainism	christianity	zoroastrianism	faiths
ဟိန်း	cry	met	dare	aka	hey	hell	bandit	go	lion	laughed
ဟုန်	propel	stride	slowing	slowed	move	go	fly	spinning	back	bounce
ဟုန်း	tide	down	surge	wane	swung	surged	deck	roaring	gun	butts
ဟန်စ်	first	prior	coincidentally	after	respectively	only	starting	home	may	followed
ဟပ်	shines	moon	hang	hammered	lifted	face	set	hung	reversed	bounced
ဟမ်	mate	grams	cans	pence	fed	only	appeared	crate	platter	toss
ဟမ်လင်း	coming	outing	disappointing	opening	only	coincidentally	comeback	winning	rained	lights
ဟမ်း	gin	go	porter	rooster	just	hangs	got	grabbed	belly	coincidentally
ဟိမ်း	ironically	only	stayed	staying	leaving	surrendering	lured	returning	who	both
ဟုမ္မလင်း	northernmost	southernmost	westernmost	easternmost	township	townships	headwaters	area	adjoins	junction
ဟုမ်း	was	ran	originally	briefly	later	early	first	shortly	subsequently	coincidentally
ဟုမ်းစ်	years	was	early	first	later	interviewed	serving	five	originally	before
ဟယ်	exclaimed	cried	uncle	frightened	yelling	shouting	mom	polly	dear	cries
ဟယ်တွန်	hoped	wanted	wanting	commented	convinced	said	remarked	stated	wished	insisted
ဟယ်ရီ	kerry	frances	emily	michelle	sarah	susan	kate	connelly	katherine	author
ဟယ်လီကော်ပတာ	servicing	operated	towing	airplanes	operations	operating	operate	equipment	company	firefighting
ဟယ်လီနာ	partnered	kelly	founded	ann	angeles	california	madison	florence	dayton	louis
ဟယ်လင်	resigning	consultant	appointment	adviser	resigned	appointed	working	resignation	resign	ministerial
ဟာရ်	nang	respectively	dia	pohang	thunder	pusan	bali	chin	pronounced	manama
ဟီလ်တန်	challenge	inviting	hopes	first	invited	earned	buddies	hoped	went	earning
ဟောလ်ဝေ့ခ်ျ	only	to	when	home	just	is	one	going	first	at
ဟဿ	so	excess	lowered	reverses	lifted	chipped	lose	swallowed	only	bursting
ဟြု	laughed	cried	terrified	frightened	crying	scared	silently	wondering	hear	weep
ဟွာ	fly	bus	bed	speeding	just	rained	before	sped	train	us
ဟွိုင်း	hang	bang	kisses	me	ends	fan	busted	boone	pong	eason
ဟွတ်ခ်	instructing	fined	disallowed	complied	mailed	responding	warned	reiterated	registering	denied
ဟွန်	only	rest	side	one	portion	sandwiched	just	the	after	starting
ဟွန်တွန်	hoped	just	ended	to	after	only	decided	spent	starting	started
ဟွန်ဒါ	wins	winning	won	car	team	ended	starting	teammate	competition	clinching
ဟွန်ဒူးရပ်စ်	northeastern	southwestern	area	southeastern	northwest	areas	bordering	the	territory	within
ဟွန်း	kashima	shima	ise	oki	kagoshima	kure	mishima	ehime	miura	shonan
ဠာဂုါဂေ	guessing	words	conversational	typing	guesses	reader	read	intuition	understands	something
ဠိ	holi	chit	rained	kut	pot	go	indra	ravana	day	hang
အက	musical	ensemble	choral	alphabet	cappella	oratorio	choruses	ballet	music	retelling
အကနှင့်	choirs	haworth	bagpipe	violoncello	hufnagel	berio	erebidae	brevis	soloists	scopoli
အကာ	shelter	perimeter	fence	shelters	aid	sheltering	fences	benefit	turf	measures
အကာအကွယ်	protecting	protection	protect	deter	protective	protects	prevent	preventing	protections	deterrent
အကာအကွယ်မဲ့	protecting	sheltering	harming	protects	animals	preventing	humans	protective	deter	protection
အကာအရံ	fence	perimeter	protective	other	sheltering	fenced	precaution	grounds	shelters	which
အကုသိုလ်	delusion	agony	delusions	grief	evil	delusional	hallucination	worldly	demonic	afterlife
အကူ	aid	assistance	help	assist	assisted	advice	assisting	encouragement	aided	aiding
အကူအညီ	aid	assistance	help	assist	assisting	supplies	advice	rescue	assisted	generously
အကူအညီကို	assistance	aid	help	advice	assist	enlists	reluctantly	advise	persuade	needy
အကူအညီနဲ့	aid	assistance	help	betrayed	supplies	aiding	assist	desperately	rescued	generously
အကူအညီပေး	assistance	aid	assist	assisting	help	aiding	assisted	supplies	support	providing
အကူအညီပေးရေး	assistance	aid	assisting	cooperation	financing	agencies	cooperating	coordinating	facilitation	governmental
အကူအညီဖြင့်	assistance	aid	help	assist	evacuate	persuade	send	invade	persuading	aiding
အကူအညီများ	assistance	aid	governments	agencies	ngos	funds	organizations	organisations	beneficiaries	funding
အကူးအပြောင်း	changes	transformation	change	changing	transition	transfer	radically	instance	introducing	transformed
အကဲ	tutor	confidant	friend	acquaintance	mistress	boss	mentor	ally	ruler	chief
အကဲခတ်	delighted	suggestion	acquaintance	informed	intrigued	amazed	friend	congratulate	reminded	pleased
အကဲဖြတ်	assessment	assessments	evaluation	assesses	evaluations	assessing	assess	evaluate	undertake	outcomes
အကဲဖြတ်ခြင်း	execution	evaluations	evaluation	rejection	interventions	assessment	severity	validation	persistence	consequences
အကို	brother	friend	father	cousin	younger	uncle	daughter	mother	stepfather	son
အကိုကြီး	uncle	father	elder	brother	stepfather	daughter	cousin	eldest	grandson	younger
အကိုးအကား	truths	benevolence	anecdote	ignorant	seem	explanatory	doubt	kindly	amiable	acquaintance
အကောက်	exporters	savings	allowances	superannuation	tax	accounts	pensions	posts	trading	establishing
အကောက်ခွန်	service	employment	logistics	levies	procurement	allowances	facilitation	transportation	pensions	transport
အကောင်	account	accounts	characters	best	skins	character	portray	realistic	villains	protagonists
အကောင်ထည်ဖော်	implementing	implementation	implement	facilitate	framework	implemented	enable	improving	implements	enhance
အကောင်အထည်	implementation	implementing	implement	framework	roadmap	formulating	formulate	frameworks	objectives	implemented
အကောင်အထည်ဖော်	implementing	implementation	implement	formulating	implemented	framework	formulate	roadmap	facilitate	objectives
အကောင်အထည်ဖော်ခြင်း	implementation	implementing	facilitation	formulating	implement	compliance	facilitating	implementations	framework	procedures
အကောင်အထည်ဖော်ရေး	implementation	implementing	formulating	implement	initiatives	stakeholders	roadmap	facilitation	stakeholder	objectives
အကောင်အထည်ဖော်ရန်	implementation	implementing	implement	roadmap	formulating	formulate	stakeholders	framework	objectives	initiatives
အကောင့်	account	take	entice	allow	make	lets	put	hide	puts	accounts
အကောင်း	best	account	character	believable	fable	lovely	heroine	portrayal	characters	brave
အကောင်းဆုံး	best	outstanding	awards	favorite	hottest	greatest	accolades	finest	award	promising
အကောင်းဆုံး၊	best	outstanding	bafta	funniest	accolades	awards	hottest	premios	favorite	aacta
အကောင်းဆုံးနှင့်	best	outstanding	bafta	funniest	hottest	premios	aurea	fastest	filmfare	sexiest
အကောင်းဆုံးသော	best	outstanding	excellent	finest	good	worst	memorable	favorite	hottest	strongest
အကောင်းဆုံးဟု	best	funniest	outstanding	bafta	fantastical	favorite	fairest	aacta	believable	accolades
အကောင်းပကတိ	account	best	lovely	liars	marvellous	fantastical	accounts	protagonist	perfectly	unfortunate
အကောင်းမြင်	account	motivations	virtuous	best	trusting	accounts	believable	intentions	regards	furthering
အကိုင်း	leathery	buds	petioles	fringed	stalk	petiole	pinkish	oblong	pollen	thick
အကိုင်းများ	cuttings	buds	inflorescences	ridges	depressions	clumps	gullies	petioles	shrubs	grasses
အကိုင်းများသည်	inflorescences	anthers	lobes	stamens	petioles	inflorescence	pinkish	axils	leathery	bracts
အကိုင်းအခက်	foliage	fronds	thick	grasses	clumps	leathery	cuttings	understory	bushes	fruiting
အကိုင်းအခက်များ	shrubs	grasses	bushes	clumps	foliage	inflorescences	cuttings	millimeters	petioles	tubers
အကန့်	opaque	limit	separator	vertically	graphite	thickness	lowers	cents	lowercase	approximated
အကန့်အသတ်	requirement	apply	circumvent	restrict	exclude	theoretically	introduce	impose	applicability	allowable
အကန့်အသတ်မရှိ	exclude	requirement	permissible	applicability	requirements	apply	specify	circumvent	enforceable	allowable
အကုန်	eve	saw	climactic	tons	again	pounds	second	beginning	fall	decadence
အကုန်တွင်	fmw	wholesale	gasoline	zwei	junkyard	trucks	ddr	juventud	amedeo	jcpenney
အကုန်လုံး	everything	whole	so	meant	frames	hinges	exactly	inevitably	entire	spare
အကုန်အကျ	cost	costing	depreciation	costs	commodities	goods	expense	exports	repayment	discount
အကုန်အစင်	cargo	goods	tons	trucks	cargoes	superstructure	pallet	warehouses	expended	junkyard
အကယ်	dramatic	academy	picture	realistically	best	believable	realistic	collateral	perhaps	scale
အကယ်စင်စစ်	curiously	absurd	ingenious	fanciful	proportions	characteristic	vaguely	anthropomorphic	precisely	gigantic
အကယ်ဒမီ	academy	film	actress	actor	bafta	cinematography	cinematographer	screenwriter	oscars	movie
အကယ်ဒမီဆု	bafta	actress	film	cinematography	actor	aacta	academy	cinematographer	screenwriter	oscars
အကယ်ပင်	antigonus	ridiculous	absurd	metaphorical	pyrrhus	obnoxious	showy	unpleasant	outrageous	plainly
အကယ်၍	unpleasant	exclude	difference	ordinarily	if	therefore	agree	necessarily	unambiguous	sleeper
အကယ်၍သာ	unavoidable	obviously	unrealistic	difference	perhaps	mistake	dramatic	uncertainty	doubt	perceive
အကျ	effect	benefit	illustrate	extent	allusion	recourse	illustrates	justification	pronounced	rhyme
အကျအဆုံး	reprisal	aftermath	reprisals	enemy	skirmish	skirmishes	retaliatory	retaliation	combatants	inflicted
အကျဥ်းထောင်	prison	prisons	sentenced	incarcerated	detention	inmates	jailed	convicted	detained	probation
အကျဥ်းသား	prison	incarcerated	prisoner	convicted	inmates	detained	prisoners	sentenced	arrested	incarceration
အကျီ	allusion	sheltering	wearing	caption	retribution	referencing	lament	emblazoned	name	depicted
အကျော့	fifth	tenth	ninth	sixth	fourth	eighth	opening	eleventh	second	seventh
အကျော်	twenty	tenth	beginning	opening	preceding	ninth	thirteenth	thirty	preceded	last
အကျော်ကြားဆုံး	best	music	greatest	entertainer	song	performer	prolific	popularizing	singer	biggest
အကျော်ကြားဆုံးသော	biggest	popularizing	memorable	best	prolific	greatest	oldest	famous	music	renowned
အကျော်အမော်	entertainers	performers	concerts	singing	concert	choir	performances	musicals	singers	music
အကျိုး	benefit	effect	beneficial	benefits	effects	beneficiary	benefiting	beneficiaries	affect	benevolent
အကျိုးကို	benefit	benefits	beneficial	effect	benevolence	kindness	altruism	forgiveness	benevolent	grateful
အကျိုးကျေးဇူး	benefit	benefits	beneficial	effect	benefiting	grateful	benevolence	effects	benefitted	kindness
အကျိုးကျေးဇူးများ	benefit	benefits	beneficial	effects	effect	beneficiaries	advantages	treatments	benefiting	importantly
အကျိုးခံစားခွင့်	benefits	benefit	beneficiaries	beneficial	equitable	incentives	consequential	benefiting	remuneration	beneficiary
အကျိုးခံစားခွင့်	benefits	benefit	beneficiaries	equitable	discretionary	pension	beneficiary	entitlement	remuneration	pensions
အကျိုးငှာ	benefit	benevolence	beneficial	effect	benefits	benevolent	altruism	beneficiary	equitable	kindness
အကျိုးစီးပွား	benevolence	beneficial	benefit	benefits	equitable	economic	capitalism	interdependence	sufficiency	detriment
အကျိုးစီးပွားအတွက်	benefits	benefit	beneficial	equitable	altruism	benevolence	sufficiency	fairness	aims	maximizing
အကျိုးဆက်	effect	benefit	beneficial	effects	benefiting	impacted	counteract	detrimental	impacting	adversely
အကျိုးဆက်ကြောင့်	benefit	mitigate	lessen	beneficial	mitigating	effect	benefits	deleterious	adverse	impacts
အကျိုးဆက်များ	beneficial	benefits	effects	effect	factors	benefit	adversely	impacts	adverse	disruptions
အကျိုးဆက်အနေဖြင့်	benefit	mitigate	beneficial	benefits	counteract	deleterious	likelihood	advantageous	risk	stabilizing
အကျိုးဆက်အဖြစ်	benefit	beneficial	effect	benefits	effects	mitigate	impacts	counteract	stabilizing	enhancing
အကျိုးဆက်အားဖြင့်	beneficial	benefit	effect	affects	affect	susceptibility	imbalance	affecting	benefits	wu
အကျိုးဆောင်	benefit	benevolent	beneficiaries	beneficiary	benefits	trustee	beneficial	benefiting	effect	benevolence
အကျိုးတူ	benefit	beneficial	benefits	effect	benefiting	beneficiaries	effects	enhance	equitable	beneficiary
အကျိုးပြု	benefit	beneficial	effect	benefits	effects	benefiting	affect	counteract	enhance	beneficiaries
အကျိုးမရှိသော	benefit	beneficial	benefits	effect	doubt	benevolence	ignorance	devoid	conclusive	unaffected
အကျိုးရလဒ်	effect	benefit	beneficial	effects	benefits	affect	consequences	detrimental	outcomes	effective
အကျိုးရှိ	benefit	beneficial	benefits	effect	effects	benefiting	affect	benevolence	harm	beneficiaries
အကျိုးရှိစွာ	beneficial	benefit	benefits	effect	benefitted	maximize	beneficiaries	benefiting	detrimental	affect
အကျိုးရှိရှိ	benefit	beneficial	benefits	effect	benefiting	affect	maximize	beneficiaries	effects	benefitted
အကျိုးရှိသော	beneficial	benefit	benefits	effect	benevolence	benevolent	unaffected	devoid	effects	rewards
အကျိုးသက်ရောက်	effect	beneficial	impacts	impact	effects	benefit	affect	benefits	effectiveness	efficacy
အကျိုးသက်ရောက်မှု	impacts	impact	effect	effectiveness	efficacy	effects	beneficial	implications	benefits	factors
အကျိုးသက်ရောက်မှုများ	impacts	effects	effectiveness	factors	effect	impact	outcomes	implications	efficacy	adverse
အကျိုးသင့်	benefit	beneficial	benefits	effect	harm	harmful	affect	effects	detrimental	adverse
အကျိုးအကြောင်း	doubt	benefit	beneficial	circumstance	guilt	benevolence	whatsoever	remorse	benevolent	unworthy
အကျိုးအကြောင်းကို	doubt	forgiveness	remorse	merciful	forgiven	forgives	forgive	guilt	genuinely	pleads
အကျိုးအတွက်	benefit	benefits	beneficial	beneficiaries	beneficiary	altruism	benevolence	effect	maximize	benevolent
အကျိုးအပဲ့	effect	benefit	effects	beneficial	lessen	affect	obliterated	blown	benefits	benefiting
အကျိုးအမြတ်	benefit	benefits	profit	beneficiaries	profits	beneficial	beneficiary	benefiting	dividends	incentive
အကျိုးအမြတ်များ	benefits	profits	beneficiaries	benefit	profit	nonprofits	incentives	premiums	donors	borrowers
အကျင့်	exercise	virtuous	indulge	vices	morals	contemplate	lust	chastity	exercising	punish
အကျင့်စာရိတ္တ	morality	virtuous	morals	moral	humility	intellect	benevolence	piety	ethic	individualism
အကျင့်ပျက်	wealth	exercise	indulge	virtuous	undermine	undermining	exercising	excesses	morality	morals
အကျင့်သီလ	virtuous	piety	humility	virtues	morals	morality	righteousness	obedience	benevolence	chastity
အကျဉ်း	prison	prisoner	imprisonment	prisoners	incarcerated	prisons	incarceration	inmates	detention	penitentiary
အကျဉ်းချ	prison	imprisonment	imprisoned	prisoner	imprison	confinement	detention	punishment	detain	sentence
အကျဉ်းချထား	prison	prisoner	imprisoned	detention	detain	imprisonment	executions	prisoners	custody	desertion
အကျဉ်းချထားခြင်း	desertion	execution	executions	incarceration	annulment	persecutions	repentance	toleration	imprisonment	banishment
အကျဉ်းချုပ်	summary	paragraph	published	paragraphs	preface	publication	abbreviation	literal	chronological	chronologically
အကျဉ်းချုံး	summary	chronologically	entitled	paragraphs	allegorical	quotation	chronological	interpretation	paragraph	preface
အကျဉ်းချုံး၍	paragraphs	preface	treatises	poetical	aphorisms	summary	allegorical	frontispiece	paraphrase	quotation
အကျဉ်းစခန်း	prison	prisons	inmates	prisoners	detention	prisoner	incarcerated	penitentiary	inmate	internment
အကျဉ်းထောင်	prison	prisons	detention	inmates	imprisonment	incarcerated	prisoners	penitentiary	prisoner	inmate
အကျဉ်းထောင်တွင်	prison	imprisonment	prisons	incarcerated	detention	sentenced	inmate	penitentiary	incarceration	inmates
အကျဉ်းထောင်မှ	prison	prisons	imprisonment	penitentiary	incarcerated	inmates	inmate	incarceration	sentenced	detention
အကျဉ်းမှ	prison	newgate	detention	imprisonment	detain	incarceration	remanded	penitentiary	incarcerated	prisoner
အကျဉ်းသား	prisoner	prison	prisoners	detention	incarcerated	imprisonment	inmates	incarceration	detainees	inmate
အကျဉ်းသားများ	prisoners	detainees	inmates	dissidents	captives	petitioners	activists	marchers	citizens	deportation
အကျိတ်	effect	benefit	effects	beneficial	sickness	dose	exposure	benefits	discomfort	treatments
အကျပ်အတည်း	crises	recession	crisis	stagnation	inflation	profits	financial	repercussions	instability	downturn
အကျပ်အတည်းများ	crises	governments	interventions	policies	disruptions	organizations	initiatives	economies	crisis	lenders
အကျုံးဝင်	justification	context	implication	expressly	construed	explicitly	justified	relation	elaboration	therein
အကျုံးဝင်သော	admissible	valid	unambiguous	useful	persuasive	precise	relevant	authoritative	flexible	heterogeneous
အကျယ်	encloses	length	enclose	bisected	frontage	circumference	diameter	enclosing	sq	stretches
အကျယ်ကို	circumference	enclose	trunk	rhyme	encloses	girth	breadth	tentacles	hewn	peduncle
အကျယ်ချုပ်	summarily	resign	dismissal	ouster	depose	appoint	downfall	complicity	rebuffed	indictments
အကျယ်ဆုံး	widest	longest	largest	shortest	length	easternmost	westernmost	southernmost	smallest	furthest
အကျယ်တဝင့်	anonymously	quotes	excerpts	preface	quote	entitled	quotations	memoirs	illustrate	paragraphs
အကျယ်ပြန့်ဆုံး	widest	broadest	encompass	extends	stretches	extent	easternmost	southernmost	smallest	contiguous
