ယခု လ တွင် ပျားရည် နှင့် ပျားဖယောင်း များ ကို စုဆောင်း ကြ သည် ဟု ခန့်မှန်း နိုင် သည် ။	This month they collect honey and beeswax is estimated.
ဒီ ထိုင်ခုံ က ပိတ် ထား ပါ သလား ။	Whether the seat is closed.
အခြေခံ သဘောတရား မှာ ဒေသ အတွင်း နိုင်ငံ နှင့် စီးပွား တည်ငြိမ် ရရှိ စေရေး ဖြစ် သည် ။	The principle is a sufficient and stable countries in the region and economic.
ထို သို့ ပြုလုပ် သည် မှာ သူရဲဘောနည်း ၍ ကား မ ဟုတ် ၊ လိုအပ် လျှင် သူ့ ကိုယ် ကို သူ ကာကွယ် ၌ ကြမ်းကြုတ် စွာ ပင် တိုက်ခိုက် တတ် လေ သည် ။	And if not for the fainthearted. If you need to protect himself in the cruel attack.
ကျား ၊ ကျားသစ် စသော ရန်သူ တို့ နှင့် တွေ့ သော အခါ မူ လက်ညှိုး တထိုးထိုး ပြု လျက် စူးရှ စွာ ဟစ်အော် တတ် ကြ သည် ။	tiger, Leopard on the enemy, and when he found a finger because they are sharp scream.
အဆိုးရွားဆုံး အတင်းအကြပ် ခိုင်းစေ အချို့ ကို မြန်မာ အရှေ့တောင် မှ အစီရင်ခံ ခဲ့ သည် ။	Some of the worst forced reported in the southeast.
ဒေါက်တာ သည် အိန္ဒိယ ၏ ပထမဆုံး သမ္မတ ဖြစ် ပြီးလျှင် ရှရီနေရူး သည် လွတ်လပ် သည့် အိန္ဒိယ ဖြစ် လာ သည့် အချိန် မှ စ ၍ ၁၉၄၆ ခုနှစ် မေ ၂၇ ရက်နေ့ ၌ ကွယ်လွန် သည် အထိ အိန္ဒိယ ၏ ဝန်ကြီးချုပ် အဖြစ် ဆောင်ရွက် ခဲ့ သည် ။	Dr. after the first President of India, Nehru is an independent India., Died in the May 27, 1946, to serve as Prime Minister of India.
အဓိက နှစ် နိုင်ငံ တင်းမာ ဖြစ် သည် မှာ ဖရဖ်ခဆည် ကြောင့် ဖြစ် သည် ။	The two main hardening ရဖ် dam.
မြန်မာ့ ကို ပတ်ဝိုင်း ၊ ကြေးဝိုင်း ၊ ပတ္တလား နှင့် လေမှုတ်တူရိယာ များ ဖြစ် သည့် နှဲ ၊ နှဲကြီး ၊ ပလွေ ၊ ဝါးလက်ခုပ် နှင့် ကြိုးတပ်တူရိယာ များ အား ဆိုင်းဝိုင်း ခေါ် သံစုံတီးဝိုင်း ဖွဲ့ ၍ တီးခတ် ကြ သည် ။	Myanmar is circular, Bronze Wine, Pattaya, and wind instruments such as oboe, blow Oboe, pipe, Bamboo clappers and Strings form a drum circle orchestra played..
သမိုင်းမတင် မီ အခါ က ပင် ရှေး လူ တို့ သည် သတ္တု များ ကို အရည်ကျို ၍ သတ္တု ထုတ်ယူ သည့် သာမန် နည်း များ ကို တွေ့ ရှိ ခဲ့ ကြ သည် ။	Even before history when the metal is melted. Metal print in the normal way.
ဤ အက်တမ် အလေးဆ များ နှင့် စပ်လျဉ်း ၍ ၁၈၆၉ ခုနှစ် တွင် ရုရှ ဓာတုဗေဒ ဒိမိထရီမင်ဒီလေးယက် သည် အက်တမ် အလေးဆ ဇယားကွက် ကို စီစဉ် ရေးသား ခဲ့ လေ သည် ။	With respect to the fourth of these atoms. In 1869, Russian chemist Swedish battery Ming four paws atoms arranged four times the grid.
ဗမာ့ ၏ အနေအထား သည် လည်း မရေမရာ နှင့် အားကျ လုံးဝ မ ရှိ ပေ ။	Burma&#39;s status is uncertain and not completely.
ရှယ်တာဘောက်စ် သည် မေ ၁၀ ရက်နေ့ တွင် စတင် ရောက် ရှိ ခဲ့ သည် ။	The share box to start on May 10.
ကိစ္စ မ ဟုတ် ပါ ဘူး ။	Do not really matter.
တစ် နှစ် အတွင်း ခြင်မ တစ် ကောင် မှ ခြင် ကောင်ရေ သန်း ပေါင်း ၁၅၉,၈၅၇ ထောင် ပေါက်ဖွား နိုင် သည် ။	Within a year off from the body of a million 159.857 thousand horsepower breeding mosquitoes.
၎င်း တို့ ၏ အလံ ၌ အလယ်ဗဟို တွင် ကိန္နရာ ကို ဂုဏ်ပြု သည့် သဘော ထည့်သွင်း ထား သည် ။	In the center of the flag in honor kinnara installed.
မြို့တော် သည် တောင် ပေါ် တွင် တည်ရှိ ၍ ၊ အနီးအနား မှ မီးတောင် များ ပေါက်ကွဲ သဖြင့် မြို့ ပျက် သည့် အခါ တိုင်း မြို့ ကို ပြန်လည် တည်ဆောက် ခဲ့ ကြ ရ သည် ၊ မြန်မာ့ ၊ အတွဲ ၄ အယ်ဆာဗေဒို ကို ၁၉၈ဝ ပြည့် နှစ် ဒီဇင်ဘာ တွင် ပြန်လည် ဖွဲ့စည်း ရာ အုပ်ချုပ် ကောင်စီ ဟိုစေးနပိုလီယန်ဒွာတေ သည် သမ္မတ ၊ ဗိုလ်မှူးကြီး က ဒုတိယ သမ္မတ နှင့် စစ်သေနာပတိ ဖြစ် လာ သည် ။	The city is located on the south. The nearby volcanoes to explode when the city does not have to rebuild the city, Myanmar, Volume 4, El Salvador was formed 198 years back in December Council José m ဒွာ President Col is the Vice-President and Commander.
ဒီ ဟာ က ဘာ သားရေ လဲ ။	This is leather.
တရုတ် သည် နိုင်ငံ များ ၊ စစ် များ ၊ စီးပွား များ နှင့် သိပ္ပံ များ များ စွာ ပေါ်ထွန်း ရာ တိုင်းပြည် ဖြစ် သည် ။	China is the country, War, Country appearing in business and science.
သိဟ် သည် ပဉ္စမ ရာသီ ဖြစ် သည် ။	Leo is the fifth season.
ထို့နောက် ၁၉၄၇ တွင် ကြီးမား ကျယ်ပြန့် လှ သော အကြမ်းမဖက် တို့ ဖြင့် အင်္ဂလိပ် လက်အောက် မှ ၁၉၄၇ ခုနှစ် တွင် လွတ်လပ် ရ ခဲ့ သည် ။	Then, in 1947, a large wide-violent freedom of the British in 1947 under.
၁၁၂၅ ခုနှစ် တွင် ကျမ်းပြု ခဲ့ သော လက်ဝဲနော်ရထာ အမေး တောင်တွင်းဆရာတော် အဖြေ သည် စွယ်စုံအရာမြောက် သော ကျမ်း ဖြစ် လေ သည် ။	In 1125, the law that was left for me to ask the eternal တောင်တွင်း like a book that is versatile.
ထို မင်း ၏ အဆက်အနွယ် တို့ သည် နှစ် ပေါင်း ၁၅ဝ ခန့် အတွင်း အိန္ဒိယ အရှေ့ နှင့် တောင် ရှိ ဒေသ အချို့ ကို အုပ်စိုး ခဲ့ ကြ ၍ အစ္စလာမ် နှင့် ယဉ်ကျေး တို့ ကို ပြန့်ပွား စေ ခဲ့ ကြ သည် ။	And the tribes of India during the first 15 years have been over some parts of the east and south. Islamic culture has been spreading.
ကမ္ဘာ့ ၏ ၁၇.၃၁ ရာခိုင်နှုန်း ဖြစ် ပြီး ကမ္ဘာ့ ၆ ဦး တွင် ၁ ဦး မှာ အိန္ဒိယ တွင် နေထိုင် သည် ဟု ဆိုလို ဖြစ် သည် ။	17.31% of the world and the world&#39;s 1 in 6, that is, living in India.
ထိုင်း ၏ တရားဝင် ရုံးသုံး ဘာသာစကား မှာ ထိုင်း ဖြစ် သည် ။	Thai is the official language of Thailand.
၁၉၄၈ ခုနှစ် ၊ ဒီဇင်ဘာ ၁၀ ရက်နေ့ တွင် ကမ္ဘာ့ ညီလာခံ က လူ့ ကို အတည်ပြု ၍ ကြေညာ လိုက် ရာ ထို ကြေညာစာတမ်း ၏ စာသား သည် နောက် စာမျက်နှာ များ တွင် အပြည့်အစုံ ပါ ရှိ သည် ။	1948 On December 10, announced the adoption of the World Conference on Human. The text of the Declaration in full on the next page.
ဒီ ဟာ က နမူနာ ပြ ထား တာ နဲ့ မ တူ ဘူး ။	This example does not like.
ကျေးဇူးပြုပြီး ၊ စစ် ကြည့် ပါ ။	Please, Please check.
အော်စတင် ကို သွား တဲ့ သီးသန့် ထိုင်ခုံ ကို ဆောင်ရွက် ပေး ပါ ။	Austin is a private seating.
အမည်ရင်း ကိုထွန်းရှိန် ဖြစ် ပြီး ၂ နိုဝင်ဘာ ၁၉၁၈ တွင် အောင်လံ ကမ္မလေး ၌ ဦးခန့် ဒေါ်သန့် တို့ က ဖွားမြင် ခဲ့ သည် ။	However Tun Shein of 2 November 1918 on flexibility in the action, clean aunt was born.
လေယာဉ် မေ့ကျန် ခဲ့ ပါ တယ် ။	Forget the rest of the plane.
မုတ္တမ ၏ ရှေးအခါ ကြီးကျယ် ပုံ ကို ရာဇဝင် အရ သက္ကရာဇ် ၉ဝ၂ ခုနှစ် တွင် တပင်ရွှေထီး နှင့် မုတ္တမ တို့ ဖက်ပြိုင် တိုက်ခိုက် သော မုတ္တမ တွင် ထင်ရှား စွာ တွေ့မြင် နိုင် သည် ။	Martaban, the great figure of history, at the beginning of the year 9 2 and Martaban year could see the attack appeared in Martaban.
မြောက် ရှိ ဟိမဝန္တာ ၌ မူ ရာသီဥတု အေးမြ ၍ တောင်ထိပ် များ စွာ တို့ မှ ဆီးနှင်း များ ဖြင့် တစ် နှစ် ပတ်လုံး ဖွေးဖွေးဖြူ နေ ကြ လေ သည် ။	The top of the north of the Himalayan mountains, the weather is cool. With the first snow for two days from pale white.
စီးပွား ကောင်း စွာ တိုးတက် ၍ တန်ခိုး ကြီး လျက် ရှိ သော သီရိဝိဇယ နှင့် မဟာမိတ် ဖြစ် သော ကမ္ဗောဇ ကို အုပ်ချုပ် လာ ခဲ့ သော ထို ၏ မင်း များ သည် နှစ် ပေါင်း ၇၅ နှစ် မျှ ဆက်လက် အုပ်ချုပ် ခဲ့ ကြ ၏ ။	The power of good economic growth. Sri h and his allies, who had ruled Indonesia Boaz all of these years of their 75-year rule.
အခြား သော အဓိက မြို့ မှာ ဗန်းမော် ဖြစ် သည် ။	Work in other major cities.
တချို့ ပညာရှင် များ က တောင်သုံးလုံး လို့ အဓိပ္ပါယ်ရ သော တိကုမ္ဘနဂရ ဆို သည့် ပါဠိ ဝေါဟာရ က ဆင်းသက် ၊ တိကုမ္ဘ က တိကုမ် ၊ တကုမ် ၊ ဒဂုံ လို့ ပြောင်းလဲ ဆို ကြ ပါ သည် ။	Some scholars have said that means three companies, down from the Pali term The company paid eight .Under Dagon.
၉ ရာစုနှစ် များ ကုန် သောအခါ တွင် ခမာ တို့ ၏ နိုင်ငံ မှာ မြောက် တရုတ် ၊ အရှေ့မြောက် နန်ချို ၊ အနောက် မြန်မာ ရှိ ပျူ တို့ အထိ ဩဇာလွှမ်းမိုး ကျယ်ပြန့် ခဲ့ သည် ။	In the end of the 9th century when the Khmer north of China, Northeast နန်ချို Western influence until the computer wide.
အစားအသောက် မှာ ချင် လို့ ပါ ။	I want food.
တိုင်းပြည် နှင့် လူမျိုး အတွက် နိုင်ငံ ဆောင်ရွက် ရာတွင် ဗိုလ်ချုပ် အမည် ဖြင့် ထင်ရှား သည် ။	The name of the country and people in general appearance.
ဗမာ တို့ သည် ၇ ရာစုနှစ် ခန့် မှ စ ၍ ယနေ့ တိဗက် မှ ဧရာဝတီ တစ်လျှောက် ဆင်းသက် ခဲ့ ကြ သည် ။	About 7 centuries. Today, Tibet had landed along the Irrawaddy.
ထို့ပြင် တွင်း တစ် တွင်း မှ ပေါင် ၆ဝဝ လေး သော သမင် တစ် ကောင် ကို ပေ ပေါင်း သုံး လေးထောင် ခန့် ဝေး သည် အထိ ဆွဲ သွား နိုင် သည် ကို လည်း တွေ့ ရ လေ သည် ။	In addition, a £ 6 in the hole in the body of a deer, to draw up to far more than about three or four thousand feet.
ဂိတ်စ် သည် ပါရဂူ များ ကို ၂၀၀၀ ပြည့် နှစ် တွင် Nyenrode Business Universiteit , Breukelen , The Netherlands မှ ၊ ၂၀၀၂ ခုနှစ် တွင် the Royal Institute of Technology , Stockholm , Sweden မှ ၊ ၂၀၀၅ ခုနှစ် တွင် Waseda University , Tokyo , Japan မှ ၊ ၂၀၀၇ ခုနှစ် တွင် Harvard University နှင့် Tsinghua University , Beijing , China မှ ၊ ၂၀၀၈ ခုနှစ် တွင် the Karolinska Institutet , Stockholm မှ ၊ နှင့် ၂၀၀၉ ဇွန် တွင် Cambridge University တို့ မှ ရရှိ ခဲ့ သည် ။	Gates experts in the full year 2000 from Nyenrode Business Universiteit, Breukelen, The Netherlands, In 2002 from the Royal Institute of Technology, Stockholm, Sweden, In 2005, Waseda University, Tokyo, Japan In 2007 from Harvard University and Tsinghua University, Beijing, China, From the Karolinska Institutet, Stockholm, 2008 And in June 2009, was obtained from the Cambridge University.
အပိုဒ် ၃ လူ တိုင်း ၌ အသက်ရှင် ရန် လွတ်လပ် ခွင့် နှင့် လုံခြုံ ရှိ သည် ။	Article 3 of the people to live in freedom and security.
အသက် စွန့် ၍ တိုက် ရ မည့် တိုက်ပွဲ အတွက် မြန်မာ များ စည်းလုံး ခိုင်မြဲ ရန် လည်း လိုအပ် လှ သည် ။	The fight was to be forsaken. The need to strengthen unity.
အဆုတ် ပါ သော ငါး သည် လေအိတ် ကို အဆုတ် သဖွယ် လည်း အသုံးပြု တတ် ပေ သည် ။	The lung fish, using air bags like lung.
ရက် အတော် ကြာ ကြာ တည်း ချင် ပါ တယ် ။	If you want to take.
ဗြိတိသျှ တွင် စာပေ အနေဖြင့် ဖွံ့ဖြိုး များ ရှိ ခဲ့ သော်လည်း တိုင်းသူပြည်သား လူ အများ ၏ ပညာ အခြေအနေ မှာ အလွန် နိမ့်ကျ ခဲ့ သည် ။	British literature in the development of the situation of many people is very low.
ပထမဆုံး အစိမ်း လို ချင် ပါ တယ် ။	If you want to the first green.
နန်ချောင် သည် တဖြည်းဖြည်း အင်အားကြီး လာ ပြီး တရုတ် တို့ နှင့် ရင်ပေါင်တန်း ဆက်ဆံ နိုင် ခဲ့ သည် ။	With Annan gradually powers and China, and was treated abreast.
အဲဒီ အမျိုးသမီး ကို နောက် က လိုက် ။	Follow these women.
တက္ကသိုလ် နယ်မြေ အကျယ်အဝန်း မှာ ဧက ၃ဝဝ မျှ ဖြစ် သည် ။	The campus is in excess of 3 hundred acres.
ယင်း စာ မှာ ကွန်ပျူတာ ဝါသနာရှင် များ အကြား သိပ် ပြီး ရေပန်းမစား ခဲ့ သော်လည်း ဂိတ်စ် က တော့ ဆော့ဖ်ဝဲ တီထွင် များ သည် တန်ရာတန်ကြေး ပြန် ရ သင့် သည် ဟူသော သူ ၏ ယုံကြည် အတိုင်း သာ ဆက်လက် ပြုလုပ် ခဲ့ သည် ။	The computer fan too, but Gates is the innovative software, which is a fair price for your trust.
ထို့ကြောင့် ကော်မရှင် ၏ လုပ်ငန်းရပ် ကို တရုတ် ၏ ရင်း ကို ဖေါ်ထုတ် ခဲ့ သော သိပ္ပံ ၏ သိပ္ပံ နည်းလမ်းတကျ လေးလေးနက်နက် လုပ်ဆောင် နှင့် နှိုင်းယှဉ် ၍ မ ရ ပေ ။	Therefore, the Commission&#39;s work to identify China&#39;s Institute of Science, compared to formal and serious..
ဤ တွင် ဤ ဘာသာရပ် ကို သုံး ပိုင်း ပိုင်း ၍ လေ့လာ ရ မည် ။	This subject will be studied in three parts..
ဘီလ်ဂိတ်စ် ကို Washington ရှိ Seattle တွင် အဖေ WilliamH.Gates နှင့် MaryMaxwellGates တို့ ထံ မှ ဖွားမြင် ခဲ့ သည် ။	Gates in Seattle, Washington, the father WilliamH.Gates MaryMaxwellGates was born.
ဂျာမနီ က ဝိုင် ကို တစ် ဖန်ခွက် ရ နိုင် ပါ သလား ။	Germany, you can get a glass of wine.
လွင်ပြင် တို့ ၌ နှံစားပြောင်း ၊ လူး ၊ ဆတ် စသော မိုးပါးရေရှား ကောက် တို့ ကို လည်းကောင်း ၊ တူးမြောင်း သွယ် ပြီးလျှင် ဆန်စပါး စသော စိုစွတ် ဒေသ ကောက် တို့ ကို လည်းကောင်း စိုက်ပျိုး လုပ်ကိုင် နိုင် သည် ။	Millet in the open field, Lu, Fresh rain in the arid and semi-conclusions and Canal Lane and Rice to pick up the wet area of the farm.
အခု သူ့ မှာ ဧည့်သည် ရောက် နေ လို့ ပါ ။	Now his guests.
အက်တမ် ဟူသော ဝေါဟာရ ကို ဓာတုဗေဒ အလို အားဖြင့် ဒြပ်စင် တို့ အဖို့ အသုံးပြု ၍ ဒြပ်စင် တို့ ၏ အက်တမ် တို့ ဖြင့် ပေါင်းစပ် ဖွဲ့စည်း ထား သော ဒြပ်ပေါင်း တို့ အဖို့ မှာ မူ ကား မော်လီကျူး ဟူသော ဝေါဟာရ ကို အသုံးပြု ရ သည် ။	The term atom chemistry of the elements used to combine with the atoms of the elements. The compounds to be formed, it is using the term molecular.
ဝက်ဝံညို အမေရိကန်ဝက်ဝံနက် အာရှဝက်ဝံနက် ပန်ဒါဝက်ဝံ ဝင်ရိုးစွန်းဝက်ဝံ ပျားဖွတ်ဝက်ဝံ ဥရောပ ၊ အာရှ နှင့် မြောက်အမေရိက များ တွင် သာမက မြောက်အာဖရိက ရှိ အချို့ ဒေသ များ ၌ လည်း ဝက်ဝံ သည် ပျံ့နှံ့ လျက် ရှိ ၏ ။	Brown bear American black bear Asian black bear Panda bear polar bear bee side in Europe, Asia and North America, but also in North Africa and in some regions of the bear spread.
ဗိုလ်ချုပ် တို့ ကွယ်လွန် ပြီးနောက် ၁၉၄၉ ခုနှစ် ထုတ် အိုးဝေ တွင် ဂုဏ်ပြု ဖော်ပြ ခဲ့ သည့် ‘ ဗိုလ်ချုပ် နှင့် စာပေ ’ ဟူသော ဆောင်းပါး တွင် ဗိုလ်ချုပ် ၏ ခေတ်မီမီ ကမ္ဘာ ကြည့် ကြည့် မြင် တတ် ပုံ ကို အထင်အရှား တွေ့ ရ သည် ။	After the death of the leader of the honorable mentions in 1949 rather than on the general articles and literature, &#39;&#39; General view of the modern world is seen clearly.
အင်ဒိုနီးရှား သည် ဘဟစာ အင်ဒိုနီးရှား ကို ရုံးသုံး ဘာသာ အဖြစ် အသုံးပြု သည် ။	Indonesia is used as the official language of Indonesia.
၁၉၇၆ ခုနှစ် နောက်ပိုင်း တွင် မိုက်ခရိုဆော့ဖ် သည် MITS ၏ အရိပ် အောက် မှ ထွက် ပြီး ၊ အမျိုးမျိုး သော ဝင်းဒိုး များ အတွက် ပရိုဂရမ် ဆော့ဖ်ဝဲ များ ကို ဆက်လက် ထုတ်လုပ် ခဲ့ သည် ။	Later in 1976, Microsoft is out from under the shadow of the MITS The various windows are designed to continue the program in software.
အခု ဘယ်သူ ဖျော်ဖြေ နေ လဲ ။	The Who performed.
ရှေး အခါ က စစ်တိုက် ၌ သာ မြင်း ကို အသုံးချ ခဲ့ ကြ သော်လည်း လူ တို့ ၏ ယဉ်ကျေး အဆင့်အတန်း မှာ တဖြည်းဖြည်း တိုးတက် လာ သည့် အလျောက် ဝန်တင်လှည်း များ ဆွဲ ရာတွင် လည်းကောင်း ၊ လယ်မြေ များ ကို ထွန်ယက် ပြုပြင် ရာတွင် လည်းကောင်း မြင်း ကို အသုံးချ လာ ကြ သည် ။	When the use of the horse in the battle, but the standard of civilized men, gradually growing dimension of the freight wagons used to draw Cultivated farmland used for exercising horses.
ဆယ် ရာခိုင်နှုန်း ဈေး လျှော့ ပေး ရင် ဝယ် မယ် ။	Buy ten percent discounts.
ယခု လ ၏ အထိမ်းအမှတ် မှာ မြတ်လေးပန်း Pomeacoccinea ဖြစ် သည် ။	The mark of a jasmine flower Pomeacoccinea.
ကရင် သည် သူ့ အား များ စွာ ဒေါမနဿ ဖြစ် စေ ပါ သည် ။	Karen is in distress.
ကျောကုန်း ၏ အလယ် သည် ဝက်ဝံ ၏ တစ်ကိုယ်လုံး တွင် အမြင့်ဆုံး အစိတ်အပိုင်း ဖြစ် သည် ။	The backs of the middle part of the highest in the bear&#39;s body.
သို့သော် ၂၀၀၄ ခုနှစ် မှ စတင် ၍ အစိုးရ ၏ နိုင်ငံ များ ကို ကန့်သတ် သော စစ်ဆင် တစ် ရပ် အနေဖြင့် ၎င်း ရုံးခွဲ များ ကို ပြန်လည် ပိတ် သို့မဟုတ် ပြင်းထန် သော ပိတ်ပင် များ ကို ပြုလုပ် ခဲ့ သည် ။	However, starting from 2004. The government of a limited operation of the branch was closed for a ban or severe.
အပိုအလျှံ များ ကို နိုင်ငံတော် အဖွဲ့အစည်း များ သို့ တိုက်ရိုက် ရောင်းချ သည် ။	The flame is to sell directly to the national organization.
ထို ထက် တိကျ စွာ ဖော်ပြ ဦး မည် ။	The accuracy will be described.
ဆရာကြီး ၏ ဇနီး ဖြစ် ဒေါ်စိုး မ သေ ခင် ရွှေဥဒေါင်း စာမူ ကိစ္စ နှင့် ပတ်သက် ၍ သေတမ်းစာ ရေး ခဲ့ သည် ။	Master&#39;s wife, Daw Soe ရွှေဥဒေါင်း manuscript before his death, wrote about the case. Testament.
မြစ်ကြီးနား မှ ၁၁၈ မိုင် အကွာ တွင် တည်ရှိ သည် ။	Is located 118 miles from Myitkyina.
ကုန်းလိပ် နှင့် ပင်လယ်လိပ် တို့ သည် ကိလိုနီယာ မျိုးစဉ် တွင် ပါဝင် လေ သည် ။	From the tortoise and turtle in the descent.
လူငယ် များ ၏ နိုင်ငံ ဖွံ့ဖြိုး တွင် အရေးကြီး သည့် မှတ်တိုင် တစ် တိုင် ဖြစ် သော ၁၉၃၆ ခုနှစ် သပိတ် ကြောင့် ကိုအောင်ဆန်း သည် လည်း ကျောင်းသား တစ် ဦး အဖြစ် လူသိများ လာ ပါ သည် ။	Youth development is an important milestone for a country of the 1936 strike, Aung San, also known as a student.
အနော်ရထာ သည် ရဟန်း ၏ အဆုံးအမ ကို ခံယူ ပြီး လျှင် ထေရဝါဒ ဖြစ် လာ ခဲ့ သည် ။	Anawrahta monks had come to accept the teachings of Theravada.
ထို ဂြိုဟ် ၏ ဆွဲငင်အား သည် ကမ္ဘာ ၏ ဆွဲငင်အား ထက် အဆ ပေါင်း မြောက်မြား စွာ ကြီးမား သည် ။	The planet&#39;s gravitational pull of Earth&#39;s gravity is many times bigger.
ခင်ပွန်း မ အမျိုးသမီး များ ကို အလုပ် နည်းနည်း လုပ် ၍ ရမှတ် နည်းပါး သည့် တိုင် လုံလောက် အောင် ခွဲဝေ ပေး သည် ။	Husband, women have to work a little bit. Dividing enough to score even lower.
လူဦးရေ မှာ ၁၉၆၂ ၏ ခန့်မှန်း အရ ၂၈၈၃ ခန့် ဖြစ် သည် ။	According to the estimate of the population at 1962 2883.
ရှေ့ဆောင် စာရင်းအင်း ဂန်တူကီ က ဤ ဝေါဟာရ ကို ခုနှစ် တွင် စတင် သုံးစွဲ ခဲ့ သည် ။	Statistics classical Portuguese pioneers had started using this term.
ပြင်းထန် သော အပြင် မ ထွက် ရ အမိန့် နှင့် နိုင်ငံ ၊ ဆန္ဒပြ များ မ ပြုလုပ် ရ ဟူသော ပိတ်ပင် များ အလယ် တွင် သင်္ကြန် သည် လည်း အေးအေးဆေးဆေး ပြီးဆုံး သွား ရ သည် ။	In addition to the cruel order, The protest in the middle of the oak Thingyan finished calmly.
ဖျော်ဖြေ မြန်မာ့ အကောင်းဆုံး စွမ်းဆောင် နိုင် သူ များ အတွက် မြန်မာ့ ကို နှစ်စဉ် နေပြည်တော် တွင် ကျင်းပ သည် ။	Performer who performs best in Myanmar is held annually in Myanmar, Naypyidaw.
အကယ်လို့ အလုပ် က ထွက် ပါ က ကိုယ် လုပ် ချင် တဲ့ အလုပ် ကို ရှာ ရ မှာ တော်တော် မ လွယ် ပါ ဘူး ။	If you want to work out a lot to find a job is not easy.
၁၉၃၉ ခုနှစ် ဥရောပ တွင် ဒုတိယ ကမ္ဘာ စတင် လောင်ကျွမ်း ပြီး များမကြာမီ ‘ ကိုလိုနီဝါဒ အခက် ၊ လွတ်လပ် အချက် ’ ဟု မြင် ကာ ‘ ထွက်ရပ်ဂိုဏ်း ’ တည်ထောင် နိုင် ရန် သခင် ကူညီ ပေး ခဲ့ ပါ သည် ။	1939 soon after burned in Europe since the second world colonialism, branches See an independent factor &#39;&#39; gang &#39;to be established to help master.
ဟုတ် ပါ တယ် ၊ ကျွန်တော် ပါ ပဲ ။	of course , .
alphaversion ကို 1September တွင် စတင် ခဲ့ ပြီး beta version ကို တော့ 6 November , တွင် မိတ်ဆက် ခဲ့ သည် ။	alphaversion 1September the first beta version was introduced on 6 November,.
ပုဂံ ၅၅ ဆက် အနက် ၄၂ ဆက် မြောက် မင်း ဖြစ် သည် ။	Pagan, 42 out of 55.
ဤ အရာ သည် ဖြစ်ပွား နေ ပြီး ဖြစ် သော ဘေးဒုက္ခကပ် ကို ပို ၍ ဆိုးရွား စေ သော်လည်း အကယ်၍ ဆောင်းဦး နှင့် နွေနှောင်း စပါး ရိတ်သိမ်း ချိန် တို့ တွင် အထွက်နှုန်း ကောင်း ပါ က ၎င်း ကို တစ်စိတ်တစ်ဒေသ လျှော့ချ နိုင် သည် ။	This occurred after the disaster, but much worse. If the autumn and Hnoung yield at harvest time, and the lower part.
ဂျပန် ကို ပြော နိုင် တဲ့ လမ်းပြ ရှိ ပါ သလား ။	Japan can help guide you.
ထို့ကြောင့် မြန်မာ တို့ သည် မြန်မာ ကို ပျူ နှင့် မွန် တို့ ထံမှ ရ သည် ဟူသော အဆို ကို စဉ်းစား စရာ အများ ကြီး ရှိ လာ ပါ သည် ။	Therefore, the term from the Pyu and Mon to consider.
ဒုတိယ ကမ္ဘာ အပြီး တွင် ၁၉၄၇ ခုနှစ် ဇွန် ၁၇ ရက်နေ့ မှ အစပြု ၍ ပြန်လည် ဖွင့်လှစ် နိုင် ခဲ့ သည် ။	The second in the world begins on June 17, 1947. Was re-opened.
ထို မှ ပူတာအို ကို ခရိုင် ဖွဲ့စည်း ပြီး အုပ်ချုပ် ကြ သည် ။	This rule is formed from Putao District.
အနည်းဆုံး လူ ၂၀ သည် အပြည်ပြည် စံချိန်စံညွှန်း များ နှင့် မ ကိုက်ညီ သည့် အကြမ်းဖက် ဖြင့် တရားစွဲဆို ပြီး စီရင်ချက်ချ ခဲ့ သည် ။	At least 20 people are consistent with international standards for the violence were prosecuted and sentenced.
ဗြိတိသျှ တို့ အုပ်ချုပ် စဉ် အခါ က ရေနံ ကို ဘီအိုစီ ကုမ္ပဏီ မှ တစ်ဆင့် တင်ပို့ ရောင်းချ ခဲ့ သည် ။	During the British rule, the oil is exported via the company.
ဘယ် မှာ တည်း မှာ လဲ ။	No one.
ကျောက်ခေတ် သစ် တွင် အဆင့်အတန်း အမြင့်ဆုံး သော ကဲလတစ် ကျောက် များ ပေါ်ပေါက် လာ တော့ သည် ။	Stone on the highest standard for the occurrence of a rock.
မည် သို့ ပင် ဖြစ်စေ ရှေး ခေတ် သထုံ နှင့် ယခု ခေတ် သည် မြေ အနေအထား အားဖြင့် ခြားနား နေ လေ ပြီ ။	Either way, the era of ancient Thaton and through different terrain.
ကယား များ သည် ကိန္နရာ ၊ ကိန္နရီ များ မှ ဆင်းသက် ပေါက်ဖွား လာ သည် ဟု ယူဆ ဟန်တူ သည် ။	Kayah kinnara Canary landing appears to be considered for the breed.
ယဉ်ကျေး နှင့် လူ့ ကို သီးခြား ကဏ္ဍ များ အဖြစ် ခွဲခြား ဖော်ပြ လို က ပြ နိုင် ပေ ၏ ။	Culture and human as the private sector is able to identify.
သခင် တစ် ဦး ကို မုန်း ၍ တစ် ဦး ကို ချစ် မည် ။	Lord hates a loved one..
ကိုယ်ဝန်ဖျက် ချင် တဲ့ မိန်းကလေး ၁၀ ယောက် မှာ ၉ ယောက် က အတန်း ပညာ မ တတ် တဲ့ ဆင်းရဲ မိန်းကလေး တွေ ပါ ။	Abortion and girls 9 to 10 is not a poor girl students enroll.
