The Wonderful Wizard of Oz	พ่อมดมหัศจรรย์แห่งออซ
"I am now going away to make a visit.	``ฉันกำลังจะจาก ไปเยือนที่ อื่น
While I am gone the Scarecrow will rule over you.	ในตอนที่ฉัน ไม่ อยู่นี้ หุ่น ไล่กา จะ ปกครองพวก เธอ
I command you to obey him as you would me."	ฉันขอสั่ง ให้พวก เธอ เชื่อ ฟัง เขาดัง ที่ เชื่อ ฟังฉันมา''
The balloon was by this time tugging hard at the rope that held it to the ground, for the air within it was hot, and this made it so much lighter in weight than the air without that it pulled hard to rise into the sky.	ตอนนั้นลูกบอลลูนเขม็งตึงกับ เชือกที่ ผูกมันติด ไว้กับ พื้น เนื่องจาก อากาศข้าง ในร้อน และทำ ให้ น้ำหนัก เบายิ่ง กว่า อากาศข้างนอก มันจึงดึง ตัวเขม็ง จะลอย ขึ้น สู่ท้อง ฟ้า
"Come, Dorothy!" cried the Wizard.	``มา...โดโรธี''พ่อมดร้อง ``เร็ว เข้า...
"Hurry up, or the balloon will fly away."	ไม่งั้นบอลลูน จะลอย ไป''
"I can't find Toto anywhere," replied Dorothy, who did not wish to leave her little dog behind.	``ฉันหาโตโต้ ไม่พบ...''โดโรธีตอบ ไม่ อยาก จะ ทิ้งหมา น้อยของเธอ ไว้ข้างหลัง
Toto had run into the crowd to bark at a kitten, and Dorothy at last found him.	โตโต้ ได้ วิ่ง เข้า ไป ในฝูงชน ไล่เห่าลูกแมว และ ในที่ สุดโดโรธี ก็หามันพบ
She picked him up and ran towards the balloon.	เธออุ้มมันขึ้น แล้ว วิ่ง กลับ ไปที่ลูกบอลลูน
She was within a few steps of it, and Oz was holding out his hands to help her into the basket, when, crack! went the ropes, and the balloon rose into the air without her.	อีกสองสามก้าวเธอ จะ ถึงลูกบอลลูน และออซ ก็ ยื่นมือออกมา จะ ช่วยเธอ ให้ เข้า ไป ในตะกร้า ครั้น แล้ว...ดึงเชือกขาด และลูกบอลลูน ก็ ขึ้น สู่ อากาศ โดยปราศจากเธอ
"Come back!" she screamed.	``กลับมาก่อน!''เธอตะโกน
"I want to go, too!"	``ฉันอยาก ไป ด้วย''
"I can't come back, my dear," called Oz from the basket.	``ฉันกลับ ไป ไม่ ได้เ แล้ว...แม่หนู''ออซร้องมาจากตะกร้า
"Good-bye!"	``ลาก่อน
"Good-bye!" shouted everyone, and all eyes were turned upward to where the Wizard was riding in the basket, rising every moment farther and farther into the sky.	``ลาก่อน''ทุกคนตะโกนตามและดวงตา ทั้งหมด ก็หัน ตามพ่อมดที่ อยู่ ในตะกร้า ไปลอย ไกล ขึ้น ในท้อง ฟ้าทุก ขณะๆ
And that was the last any of them ever saw of Oz, the Wonderful Wizard, though he may have reached Omaha safely, and be there now, for all we know.	แล้วนั่น เป็น ครั้ง สุดท้ายที่ ใคร จะ ได้เคย เห็น และเรา ทั้งหมดรู้ เรื่อง ราวของออซพ่อมดมหัศจรรย์ เขาอาจ จะ ไป ถึงโอมาฮา โดยปลอดภัย และ ปัจจุบันนี้ อาจ อยู่ที่นั่น ก็ ได้
But the people remembered him lovingly, and said to one another:	แต่ประชาชน ยังจดจำว่า เขา เป็นคนน่ารัก และต่าง ยังพูด ถึงกัน อยู่ เสมอ
"Oz was always our friend.	``ออซเป็นมิตรของเรา เสมอแหละ''
When he was here he built for us this beautiful Emerald City, and now he is gone he has left the Wise Scarecrow to rule over us."	เมื่อเขา อยู่ที่นี่ เขา สร้างเมือง มรกตสวยงาม ให้เรา และตอนนี้ เขาจาก ไป ทิ้งหุ่น ไล่กาแสนฉลาด ไว้ ปกครองพวก เรา
Still, for many days they grieved over the loss of the Wonderful Wizard, and would not be comforted.	กระนั้นก็ตาม นับ เป็น เวลาหลายวัน ที่พวก เขา เสีย ใจ ในการสูญ เสียพ่อมดมหัศจรรย์ ไป และมัน ก็ปลอบโยนกัน ไม่ ได้ เสีย ด้วย
Chapter 18. Away to the South	บทที่ 18ไปทางทิศ ใต้
Dorothy wept bitterly at the passing of her hope to get home to Kansas again; but when she thought it all over she was glad she had not gone up in a balloon.	ร้องไห้อย่างขมขื่นที่ความหวัง จะ กลับบ้านที่แคนซัสหลุดลอย ไป อีก แต่เมื่อเธอ ใคร่ครวญดูใหม่ แล้วเธอ ก็ดี ใจที่ ไม่ ได้ ขึ้น ไปกับ บอลลูน
And she also felt sorry at losing Oz, and so did her companions.	เธอรู้สึก เสีย ใจที่สูญ เสียออซ ไป เพื่อนๆของเธอ ก็รู้ สึก เช่นกัน
The Tin Woodman came to her and said: "Truly I should be ungrateful if I failed to mourn for the man who gave me my lovely heart.	ชายตัดไม้ดีบุกมาหาเธอ แล้วพูดว่า `` จริงนะ ฉันคง จะ ไม่สำนึก ในบุญคุณ ถ้า ฉัน ไม่ ได้ร้องไห้ ให้กับ ชายที่ ให้ หัว ใจแสนน่ารัก แก่ฉัน
I should like to cry a little because Oz is gone, if you will kindly wipe away my tears, so that I shall not rust."	ฉันอยากร้องไห้สักหน่อยเพราะออซจาก ไป ถ้า เธอ จะเช็ด น้ำตา ให้ฉันทันทีเพื่อฉัน จะ ได้ ไม่ ขึ้นสนิม''
"With pleasure," she answered, and brought a towel at once.	``ด้วย ความยิน ดี''เธอตอบ แล้ว หยิบ ผ้าออกมาทันที
Then the Tin Woodman wept for several minutes, and she watched the tears carefully and wiped them away with the towel.	เสร็จแล้ว ชายตัด ไม้ดีบุก ก็ร้องไห้ อยู่หลายนาที เธอดู น้ำตานั้น อย่างระมัดระวัง และเช็ดมัน ด้วย ผ้าผืนนั้น ทันที
When he had finished, he thanked her kindly and oiled himself thoroughly with his jeweled oil-can, to guard against mishap.	เมื่อเสร็จเรียบร้อยชายตัด ไม้ดีบุก ก็ขอบ ใจเธออย่างสุภาพ แล้ว ก็หยอด น้ำมันตน เอง ด้วย กระป๋อง น้ำมัน ฝังเพชรนั้น อย่างถี่ถ้วน เป็นการป้องกันตนจากการ กระทำดัง กล่าว
The Scarecrow was now the ruler of the Emerald City, and although he was not a Wizard the people were proud of him.	ตอนนี้หุ่น ไล่กากลาย เป็น ผู้ ปกครองเมือง มรกต และ แม้ว่ามัน จะมิ ได้ เป็นพ่อมด ผู้คน ก็ภูมิ ใจมันมาก
"For," they said, "there is not another city in all the world that is ruled by a stuffed man."	``เพราะว่า...''พวกเขาพูดกัน `` ไม่มีเมือง ใด ในโลกนี้ เลยที่ ปกครอง ด้วยหุ่นยัดฟาง''
And, so far as they knew, they were quite right.	และ เท่าที่พวก เขาทราบ ก็ ถูกต้องทีเดียว
The morning after the balloon had gone up with Oz, the four travelers met in the Throne Room and talked matters over.	เช้าวัน ต่อจากที่ลูกบอลลูนลอย ไปกับ ออซนั้น นัก เดินทาง ทั้งสี่มาพบกันที่ห้องบัลลังก์ และพูดจาเรื่อง ราวกัน
The Scarecrow sat in the big throne and the others stood respectfully before him.	หุ่นไล่กา นั่งบนบัลลังก์ ใหญ่ และคน อื่นๆ ก็ ยืน อยู่เบื้อง หน้าอย่างคารวะ
"We are not so unlucky," said the new ruler, "for this Palace and the Emerald City belong to us, and we can do just as we please.	``เราโชคไม่ร้ายนัก...'' ผู้ ปกครองใหม่ พูด ขึ้น ``เพราะวังนี้ กับ เมือง มรกต เป็นของเรา และเราทำอะไร ได้ตาม ใจชอบ''
When I remember that a short time ago I was up on a pole in a farmer's cornfield, and that now I am the ruler of this beautiful City, I am quite satisfied with my lot."	ฉันจำได้ว่าเมื่อ เวลา เร็วๆนี้ เองฉันติด อยู่กับ เสาที่ ไร่ข้าวโพดของชาวนา และบัดนี้ ฉัน เป็น ผู้ ปกครองเมือง ที่งดงามนี้ ไป แล้ว ฉันพอ ใจกับ โชคชะตามากเชียว
"I also," said the Tin Woodman, "am well-pleased with my new heart; and, really, that was the only thing I wished in all the world."	``ฉันก็ เหมือนกัน...''ชายตัด ไม้ดีบุกพูด ``ฉันพอ ใจกับ หัว ใจใหม่ ของฉัน และ จริงนะ นี่ เป็น สิ่งเดียว ทั้งหมดที่ฉันปรารถนา ในโลกนี้ ''
"For my part, I am content in knowing I am as brave as any beast that ever lived, if not braver," said the Lion modestly.	``สำหรับฉัน...ฉันพอ ใจที่รู้ ว่าฉันกล้าหาญ เท่ากับ สัตว์ ใดๆที่เคยมีมา แม้ จะ ไม่กล้ามากกว่า ก็ตาม''สิงโตพูดอย่างถ่อมตน
"If Dorothy would only be contented to live in the Emerald City," continued the Scarecrow, "we might all be happy together."	``ถ้าโดโรธี จะพอ ใจ อยู่เมือง มรกต เท่านั้น แหละ...''หุ่น ไล่กาพูดต่อ ``เรา ก็อาจ เป็น สุข ด้วยกัน ทั้งหมด''
"But I don't want to live here," cried Dorothy.	``แต่ฉัน ไม่ อยาก อยู่ที่นี่...''โดโรธีร้อง''
"I want to go to Kansas, and live with Aunt Em and Uncle Henry."	``ฉันอยาก ไปแคนซัส อยู่กับ ป้าเอ็ม และลุงเฮนรี
"Well, then, what can be done?" inquired the Woodman.	``เออแล้ว จะทำอย่างไรกัน''ชายตัด ไม้ถาม ขึ้น
The Scarecrow decided to think, and he thought so hard that the pins and needles began to stick out of his brains.	หุ่นไล่กาตัด สิน ใจว่า จะลอง คิดดู และมัน ก็ คิดหนัก จนหมุด และ เข็มเริ่มโผล่ออกมาจากสมอง
Finally he said: "Why not call the Winged Monkeys, and ask them to carry you over the desert?"	ในที่ สุดมัน ก็พูดว่า ``ทำไม ไม่เรียกลิงติดปีก แล้วขอ ให้มันอุ้มข้ามทะเลทราย เล่า
"I never thought of that!" said Dorothy joyfully.	``ฉันไม่เคย คิดอย่างนั้น มาก่อน''โดโรธีพูด ด้วย ความยิน ดี
"It's just the thing.	``จริงนะ ใช่ แล้ว
I'll go at once for the Golden Cap."	ฉันจะ ไป เอาหมวกทองมาทันที''
When she brought it into the Throne Room she spoke the magic words, and soon the band of Winged Monkeys flew in through the open window and stood beside her.	เมื่อเธอนำหมวกทอง กลับมา ในห้องบัลลังก์ เธอ ก็ กล่าวมนตร์คาถานั้น ใน ไม่ช้าฝูงลิงติดปีก ก็บินผ่านหน้าต่างที่เปิด อยู่ เข้ามา ยืนข้างเธอ
"This is the second time you have called us," said the Monkey King, bowing before the little girl.	``นี่เป็น ครั้ง ที่สองที่ท่านเรียกพวก เรามา''ราชาลิงพูด โค้ง ให้ เด็ก น้อย
"What do you wish?"	``ท่านต้องการสิ่ง ใด''
"I want you to fly with me to Kansas," said Dorothy.	``ฉันอยาก ให้เธอบิน ไปแคนซัสกับ ฉัน''โดโรธีพูด
"That cannot be done," he said.	``นั่น...ทำไม่ ได้หรอก''มันพูด ขึ้น
"We belong to this country alone, and cannot leave it.	``เราเป็นของดินแดนนี้ เท่านั้น และ จะจาก ไป ไม่ ได้
There has never been a Winged Monkey in Kansas yet, and I suppose there never will be, for they don't belong there.	ถึง แม้ว่า จะ ไม่เคยมีลิงติดปีกสัก ตัว ในแคนซัส ก็ตาม และฉัน คิดว่าคง ไม่มีวัน มีเพราะฉัน ไม่ใช่ของที่นั่น
We shall be glad to serve you in any way in our power, but we cannot cross the desert.	เรายินดีรับ ใช้ท่านทาง ใด ก็ ได้ตาม อำนาจของเรา แต่เราข้ามทะเลทราย ไม่ ได้...
Good-bye."	ลาก่อน
And with another bow, the Monkey King spread his wings and flew away through the window, followed by all his band.	และ แล้วราชาลิง ก็โค้ง อีกที กางปีกออก แล้วบินผ่านหน้าต่างจาก ไป ติดตาม ไป ด้วยฝูงของมัน ทั้งหมด
Dorothy was ready to cry with disappointment.	โดโรธีเกือบจะร้องไห้ ด้วย ความ ผิดหวัง
"I have wasted the charm of the Golden Cap to no purpose," she said, "for the Winged Monkeys cannot help me."	``ฉันเสียเวทมนตร์หมวกทอง ไป โดย ไม่ ได้ ประโยชน์ ใดเลย''เธอพูด ``เพราะลิงติดปีก ช่วยฉัน ไม่ ได้''
"It is certainly too bad!" said the tender-hearted Woodman.	``แย่จริงๆ''ชายตัด ไม้ ผู้มี หัว ใจอ่อนโยนพูด
The Scarecrow was thinking again, and his head bulged out so horribly that Dorothy feared it would burst.	หุ่นไล่กาครุ่น คิด อีก และ หัวของมัน ก็พองออกมาน่ากลัวจนโดโรธี เกรงว่า จะ ระเบิดออกมา
"Let us call in the soldier with the green whiskers," he said, "and ask his advice."	``ลองเรียกทหารเครา เขียวมาซิ...''มันพูด `` แล้วถาม ความ เห็น เขา''
So the soldier was summoned and entered the Throne Room timidly, for while Oz was alive he never was allowed to come farther than the door.	ดังนั้น นาย ทหารจึง ถูกเรียก ตัว และ เข้ามา ในห้องบัลลังก์อย่างขลาดๆ เพราะเมื่อสมัย ออซมีชีวิต อยู่ที่นี่ เขา ไม่เคย ได้รับ อนุญาต ให้ เข้า ใกล้ เกิน กว่าประตูเลย
"This little girl," said the Scarecrow to the soldier, "wishes to cross the desert.	``เด็ก น้อยคนนี้ ...''หุ่น ไล่กาพูดกับ ทหาร `` อยาก จะข้ามทะเลทราย ไป
How can she do so?"	เธอจะทำ ได้อย่างไร''
"I cannot tell," answered the soldier, "for nobody has ever crossed the desert, unless it is Oz himself."	``ฉันบอกไม่ ได้หรอก''นาย ทหารตอบ ``เพราะ ไม่มี ใครเคยข้ามทะเลทรายมาก่อนนอกจากออซ เอง''
"Is there no one who can help me?" asked Dorothy earnestly.	``มีใคร จะ ช่วยฉัน ได้''โดโรธีถามอย่างกระวนกระวาย
"Glinda might," he suggested.	``กลินดาอาจช่วย ได้'' เขาเสนอ
"Who is Glinda?" inquired the Scarecrow.	``ใครคือกลินดา''หุ่น ไล่กาถาม
"The Witch of the South.	``แม่มดแห่งทิศ ใต้
She is the most powerful of all the Witches, and rules over the Quadlings.	เธอมีอำนาจกว่าแม่มด ทั้งมวล และ ปกครองพวก ควอดลิงส์ อยู่
Besides, her castle stands on the edge of the desert, so she may know a way to cross it."	นอกจากนี้ปราสาทของเธอ ยัง ตั้ง อยู่ที่ชายทะเลทราย ฉะนั้น เธออาจรู้ ทางข้าม ไป ได้''
"Glinda is a Good Witch, isn't she?" asked the child.	``กลินดาเป็นแม่มดที่ดีใช่ ไหม'' เด็ก น้อยถาม
"The Quadlings think she is good," said the soldier, "and she is kind to everyone.	``พวกควอดลิงส์ คิดว่าเธอ เป็นคนดี'' ทหารตอบ `` และ เธอ ก็เมตตาต่อทุกๆ คน
I have heard that Glinda is a beautiful woman, who knows how to keep young in spite of the many years she has lived."	ฉันได้ยิน ว่ากลินดา เป็นสตรีที่งดงาม รู้ จัก รักษา ตัว เอง ให้สาว อยู่ แม้ จะมีชีวิต อยู่มานานปี ก็ตาม''
"How can I get to her castle?" asked Dorothy.	``ฉันจะ ไปปราสาทเธอ ได้อย่างไร''โดโรธีถาม
"The road is straight to the South," he answered, "but it is said to be full of dangers to travelers.	``มีถนนตรงไปทางทิศ ใต้'' เขาตอบ `` แต่ กล่าวกันว่า เต็ม ไป ด้วย อันตรายต่อนัก เดินทาง
There are wild beasts in the woods, and a race of queer men who do not like strangers to cross their country.	มีสัตว์ร้าย ในป่า และมีเผ่ามนุษย์แปลกประหลาดที่ ไม่ชอบ ให้คนแปลกหน้าผ่านดินแดนตน
For this reason none of the Quadlings ever come to the Emerald City."	ด้วยเหตุ นี้ จึง ไม่มีควอดลิงส์สักคนเคยมา ถึงเมือง มรกต''
The soldier then left them and the Scarecrow said: "It seems, in spite of dangers, that the best thing Dorothy can do is to travel to the Land of the South and ask Glinda to help her.	แล้ว ทหาร ก็จาก ไป หุ่น ไล่กาจึงพูด ขึ้นว่า `` ทั้งๆ ที่มี อันตราย ดู จะ เป็น สิ่งที่ดีที่ สุดสำหรับ โดโรธีที่ จะ เดินทาง ไป ยังดินแดน แห่งทิศ ใต้ และขอร้อง ให้กลินดา ช่วยเธอ
For, of course, if Dorothy stays here she will never get back to Kansas."	แน่นอน เพราะถ้า เธอ อยู่ที่นี่เธอ ก็ ไม่มีวัน จะ ได้ กลับแคนซัส''
"You must have been thinking again," remarked the Tin Woodman.	``เธอคงครุ่นคิด อีก แล้ว...''ชายตัด ไม้ดีบุกว่า
"I have," said the Scarecrow.	``ใช่''หุ่นไล่กาพูด
"I shall go with Dorothy," declared the Lion, "for I am tired of your city and long for the woods and the country again.	``ฉันจะ ไปกับ โดโรธี''สิงโต ประกาศ ขึ้น ``ฉันเบื่อเมือง ของเธอ ฉัน อยาก ไปป่ากับ ชนบท อีก
I am really a wild beast, you know.	ที่จริงฉัน เป็นสัตว์ ป่านะเธอ
Besides, Dorothy will need someone to protect her."	นอกจากนี้โดโรธี ยังต้องการ ผู้พิทักษ์''
"That is true," agreed the Woodman.	``นั่นจริง''ชายตัด ไม้ เห็น ด้วย
"My axe may be of service to her; so I also will go with her to the Land of the South."	``ขวานของฉันอาจรับใช้เธอ ได้ ดัง นั้น ฉัน จะ ไปดินแดน แห่งทิศ ใต้กับ เธอ ด้วย''
"When shall we start?" asked the Scarecrow.	``เราจะเริ่มต้นกันเมื่อไร''หุ่น ไล่กาถาม
"Are you going?" they asked, in surprise.	``เธอจะ ไป ด้วยหรือ''พวก เขาถามอย่างประหลาด ใจ
"Certainly.	``แน่นอน
If it wasn't for Dorothy I should never have had brains.	ถ้าไม่ใช่เพราะโดโรธี ฉัน ก็ ไม่มีวัน ได้มันสมอง
She lifted me from the pole in the cornfield and brought me to the Emerald City.	เธอยกฉันลงมาจากเสาที่ไร่ข้าวโพด และนำ ฉันมาเมือง มรกต
So my good luck is all due to her, and I shall never leave her until she starts back to Kansas for good and all."	โชคดีทั้งหลายมาจากเธอ และฉัน ไม่มีวัน จากเธอ ไปจนกว่าเธอ จะเริ่มต้น กลับ ไปแคนซัส ด้วยดี''
"Thank you," said Dorothy gratefully.	``ขอบใจ''โดโรธีพูดอย่างสำนึก บุญคุณ
"You are all very kind to me.	``เธอทั้งหมดเมตตาต่อฉัน เหลือ เกิน
But I should like to start as soon as possible."	แต่ฉัน อยากเริ่มต้น โดย เร็วที่ สุด''
"We shall go tomorrow morning," returned the Scarecrow.	``เราจะ ไปกันพรุ่งนี้ เช้า ...''หุ่น ไล่กาตอบ
"So now let us all get ready, for it will be a long journey."	``ดังนั้น ตอนนี้ เราต้องเตรียม ให้ พร้อม ทั้งหมด เพราะมัน จะ เป็นการ เดินทาง ไกล''
Chapter 19. Attacked by the Fighting Trees	บทที่ 19 ต้นไม้ สู้โจมตี
The next morning Dorothy kissed the pretty green girl good-bye, and they all shook hands with the soldier with the green whiskers, who had walked with them as far as the gate.	เช้าวัน ต่อมา โดโรธีจูบลา เด็ก หญิงสี เขียว ผู้น่ารัก และพวก เขา ทั้งหมด ก็จับ มือ ทหารเครา เขียว ซึ่ง เดินตาม ไปจน ถึงประตู
When the Guardian of the Gate saw them again he wondered greatly that they could leave the beautiful City to get into new trouble.	เมื่อยามรักษาประตู เห็นพวก เขา อีก ก็ประหลาด ใจนักที่พวก เขา จะจากเมือง อันงดงาม ไป สู่ ความ ยุ่งยาก อีก
But he at once unlocked their spectacles, which he put back into the green box, and gave them many good wishes to carry with them.	แต่ เขา ก็ไข กุญแจแว่นตาออกทันที นำ กลับ เข้า ใส่กล่อง เขียว และอวยพร ให้มากมาย
"You are now our ruler," he said to the Scarecrow; "so you must come back to us as soon as possible."	``บัดนี้ท่าน เป็น ผู้ ปกครองของเรา แล้ว'' เขาพูดกับ หุ่น ไล่กา ``ฉะนั้น ท่านต้อง กลับมาหาเรา เร็วที่ สุด ให้ ได้นะ''
"I certainly shall if I am able," the Scarecrow replied; "but I must help Dorothy to get home, first."	``ฉันจะ กลับมา แน่ถ้า ทำ ได้...''หุ่น ไล่กาตอบ `` แต่ฉันต้อง ช่วย ให้โดโรธี กลับบ้าน เสียก่อน''
As Dorothy bade the good-natured Guardian a last farewell she said:	เมื่อโดโรธีกล่าวอำลายาม ผู้มี อารมณ์ดี เป็น ครั้ง สุดท้าย เธอพูดว่า
"I have been very kindly treated in your lovely City, and everyone has been good to me.	``ฉันได้รับ การปฏิบัติอย่างเมตตายิ่ง ในเมือง น่ารักของท่าน และทุกคน ก็ดีกับ ฉัน
I cannot tell you how grateful I am."	ฉันไม่อาจ จะบอก ได้ว่า เป็น หนี้ บุญคุณ เพียง ใด''
"Don't try, my dear," he answered.	``อย่าพยายามเลย แม่หนู''เขาตอบ ``
"We should like to keep you with us, but if it is your wish to return to Kansas, I hope you will find a way."	เราอยาก จะ เก็บเธอ ไว้กับ เรา แต่ ในเมื่อเธอปรารถนา จะ กลับ ไปแคนซัส ฉัน ก็หวังว่าเธอคงพบหนทาง''
He then opened the gate of the outer wall, and they walked forth and started upon their journey.	แล้ว เขา ก็เปิด ประตูกำแพง ด้านนอกออก พวก เขา ก็ เดิน ไปข้างหน้า และเริ่มออก เดินทาง
The sun shone brightly as our friends turned their faces toward the Land of the South.	ตะวัน ส่องแสงจ้าตอนที่ เพื่อนๆของเราหัน หน้า มุ่ง สู่ดินแดน แห่งทิศ ใต้
They were all in the best of spirits, and laughed and chatted together.	ทั้งหมดมีจิต ใจดี เป็นที่ สุด และ หัวเราะ คุยกัน ไป
Dorothy was once more filled with the hope of getting home, and the Scarecrow and the Tin Woodman were glad to be of use to her.	โดโรธีเต็ม ไป ด้วย ความหวังที่ จะ ได้ กลับบ้าน อีก ครั้ง หนึ่ง หุ่น ไล่กากับ ชายตัด ไม้ดีบุก ก็ดี ใจที่ตน เป็น ประโยชน์ต่อเธอ
As for the Lion, he sniffed the fresh air with delight and whisked his tail from side to side in pure joy at being in the country again, while Toto ran around them and chased the moths and butterflies, barking merrily all the time.	สำหรับสิงโตนั้น มันสูด อากาศบริสุทธิ์ ด้วย ความยิน ดี และแกว่งหาง ไปมาอย่างร่าเริงยิ่ง ที่ ได้ออกมาชนบท อีก ครั้ง ส่วนโต โต้ ก็ วิ่ง ไปรอบๆ และ ไล่ แมลงกับ ผี เสื้อ เห่าอย่าง สนุกสนาน ตลอด เวลา
"City life does not agree with me at all," remarked the Lion, as they walked along at a brisk pace.	``ชีวิตในเมือง มัน ไม่ต้องกับ ฉันเลย...''สิงโต กล่าว ขึ้น ขณะที่ต่าง เดิน ไปอย่างรวด เร็ว
"I have lost much flesh since I lived there, and now I am anxious for a chance to show the other beasts how courageous I have grown."	``ฉันเสียกล้าม เนื้อ ไปเยอะตอนที่ อยู่ที่นั่น ตอนนี้ ฉันกระหาย โอกาสที่ จะ แสดง ให้สัตว์ อื่นๆ เห็นว่าฉันกล้าหาญ ขึ้นอย่างไร''
They now turned and took a last look at the Emerald City.	ตอนนั้นพวก เขาหัน กลับ ไป และจ้องดูเมือง มรกต เป็น ครั้ง สุดท้าย
All they could see was a mass of towers and steeples behind the green walls, and high up above everything the spires and dome of the Palace of Oz.	ต่างก็ เห็นหอคอย และยอดแหลมๆ อยู่เบื้อง หลังกำแพง เขียว และ สูง ขึ้น ไป เหนือ สิ่ง อื่น ใดคือยอด และโดมปราสาท แห่งออซ
"Oz was not such a bad Wizard, after all," said the Tin Woodman, as he felt his heart rattling around in his breast.	``ถึงอย่างไร ก็ตาม ออซ ไม่ ได้ เป็นพ่อมดที่เลวนัก''ชายตัด ไม้ดีบุกพูด ขึ้น ใน ขณะที่รู้ สึกว่า หัว ใจของตน เต้น อยู่ ในอก
"He knew how to give me brains, and very good brains, too," said the Scarecrow.	``เขารู้ ว่า จะ ให้มันสมองฉัน ได้อย่างไร และ ก็ เป็นสมองดีมาก เสีย ด้วย''หุ่น ไล่กาพูด
"If Oz had taken a dose of the same courage he gave me," added the Lion, "he would have been a brave man."	``ถ้าออซดื่ม ความกล้าหาญขนานเดียวกับ ที่ ให้ฉัน''สิงโตเสริมต่อ `` เขา ก็คง จะ เป็นคนกล้า''
Dorothy said nothing.	โดโรธีไม่ ได้พูดอะไร
Oz had not kept the promise he made her, but he had done his best, so she forgave him.	ออซไม่ ได้ รักษาสัญญาที่ ให้กับ เธอ แต่ เขา ก็ ได้ทำอย่างดีที่ สุด แล้ว ฉะนั้น เธอจึงอภัย ให้ เขา
As he said, he was a good man, even if he was a bad Wizard.	ดังที่ เขาพูด เองว่า เขา เป็นคนดี แม้ว่า จะ เป็นพ่อมดที่เลว ก็ตาม
The first day's journey was through the green fields and bright flowers that stretched about the Emerald City on every side.	การเดินทางวัน แรก นั้น ผ่านท้อง ทุ่ง เขียว และดอก ไม้สดใสที่ขยาย อยู่รอบ ด้านเมือง มรกต
They slept that night on the grass, with nothing but the stars over them; and they rested very well indeed.	พวกเขานอน หลับกันบน พื้น หญ้า คืนนั้น ไม่มีอะไร อยู่เบื้อง บนเลยนอกจากดวงดาว และ ก็ ได้ พักผ่อนกันอย่างดียิ่ง ทีเดียว
In the morning they traveled on until they came to a thick wood.	ในตอนเช้า พวก เขา เดินทางต่อ ไปจน ถึงป่าทึบ
There was no way of going around it, for it seemed to extend to the right and left as far as they could see; and, besides, they did not dare change the direction of their journey for fear of getting lost.	ไม่มีหนทางที่ จะ เดินอ้อม ไป ได้ เพราะป่าดู จะแผ่ขยาย ไป ทั้งทางซ้ายทางขวา สุดสายตา นอกจากนี้ พวก เขา ก็ ไม่กล้า จะ เปลี่ยนทิศการ เดินทางเนื่องจากกลัวว่า จะหลงทาง
So they looked for the place where it would be easiest to get into the forest.	ดังนั้น จึงมองหาที่ที่ จะผ่าน เข้า ไป ในป่า ให้ง่ายที่ สุด
The Scarecrow, who was in the lead, finally discovered a big tree with such wide-spreading branches that there was room for the party to pass underneath.	ในที่ สุดหุ่น ไล่กา ซึ่งนำ หน้า อยู่นั้น ก็พบต้น ไม้ ใหญ่ต้นหนึ่ง มีกิ่งก้านสาขาแผ่ ไป เป็นช่องที่ คณะ จะ เดินผ่าน เข้า ไปข้าง ใต้
So he walked forward to the tree, but just as he came under the first branches they bent down and twined around him, and the next minute he was raised from the ground and flung headlong among his fellow travelers.	หุ่นไล่กาจึง เดิน ไปที่ต้น ไม้นั้น แต่ เพียง แค่ผ่าน เข้า ไป ใต้กิ่งแรก เท่านั้น กิ่ง ไม้ ก็โน้มลงมาตวัดรัดมัน ไว้ ในนาทีต่อมา มัน ก็ ถูกลาก ขึ้นจาก พื้นดินเหวี่ยง ไปตก อยู่ท่ามกลาง เพื่อนๆนัก เดินทาง
This did not hurt the Scarecrow, but it surprised him, and he looked rather dizzy when Dorothy picked him up.	หุ่นไล่กามิ ได้รับ บาด เจ็บ แต่มันประหลาด ใจ และดูท่าทางวิง เวียนเมื่อโดโรธีพยุงมัน ขึ้นมา
"Here is another space between the trees," called the Lion.	``ตรงนี้มีช่องว่างระหว่างต้น ไม้ อีกที่''สิงโตร้องบอก
"Let me try it first," said the Scarecrow, "for it doesn't hurt me to get thrown about."	``ให้ฉันลองก่อน...''หุ่น ไล่กาพูด ``เพราะถ้า ถูกโยนฉัน ก็ ไม่ เจ็บ''
He walked up to another tree, as he spoke, but its branches immediately seized him and tossed him back again.	มันเดิน เข้า ไปหา ไม้ อีกต้น พลางพูด ไป ด้วย แต่กิ่ง ไม้ ก็จับ มัน ได้ทันที แล้วเหวี่ยงมัน กลับออกมา อีก
"This is strange," exclaimed Dorothy.	``ประหลาดนะ''โดโรธีอุทาน
"What shall we do?"	``เราจะทำอย่างไรกัน''
"The trees seem to have made up their minds to fight us, and stop our journey," remarked the Lion.	``ต้นไม้ดู ตั้ง ใจ จะ สู้พวก เรา และยุติการ เดินทางของเรา''สิงโตว่า ขึ้น
"I believe I will try it myself," said the Woodman, and shouldering his axe, he marched up to the first tree that had handled the Scarecrow so roughly.	``ฉันคิดว่า จะลองดู เอง''ชายตัด ไม้ดีบุกพูด แล้ว ก็ เอาขวาน ขึ้นบ่า เดินตรง ไปที่ต้น ไม้ต้นแรก ที่ เล่นงานหุ่น ไล่กา เสียสะบักสะบอม
